Isolate,Temperature,G0_prime,tan_delta0,gamma_f,gamma_y,WSO
3610,50C,19.5375,0.5621241202815098,,31.6303,0.01750000000000007
3610,50C,6.9446666666666665,0.8390611500431987,0.07030810248190279,50.1442,0.15999999999999925
3610,50C,11.23,0.6753673196794301,0.07172425492521918,50.1122,0.15762500000000035
3610,50C,7.2405,0.7395725433326428,0.0807993420769549,15.8524,0.0521250000000002
2125,50C,14.758571428571427,0.5491723937663344,,25.1388,0.009000000000000341
2109,50C,44.03625,0.207896903119589,141.42039148073022,6.31216,0.8649999999999984
2125,50C,8.398111111111112,0.7230991095881348,0.0729957074074074,31.6333,0.0
2125,50C,16.96625,0.5549104840492154,0.0820335233281493,50.1339,0.5952500000000001
2103,50C,70.8925,0.2506612123990549,81.18930684931509,1.99504,0.08999999999999986
2106,50C,183.75714285714284,0.10972556946280028,77.94204825581394,1.99609,5.5771428571428565
2106,50C,186.0125,0.11070492574423763,78.95003607476636,1.25865,2.9974999999999987
2107,50C,155.45555555555555,0.0928311057108141,82.13455639810425,1.26002,3.2388888888888907
2107,50C,165.60000000000002,0.12687869028448737,79.6070927444795,1.58429,3.6788888888888884
2107,50C,155.675,0.1978079331941545,44.050066666666666,1.58552,4.236249999999998
2103,50C,155.17777777777778,0.2240727481025347,72.98029794520548,1.25893,2.8288888888888977
2103,50C,64.755,0.21776310709597715,66.57490526315789,1.25947,1.1587499999999995
3610,50C,7.291333333333333,0.7166651427874798,0.05970690314866481,39.7989,0.022555555555555884
2109,50C,30.555555555555557,0.4296727272727272,,10.0034,0.0011111111111130612
2109,50C,72.3488888888889,0.282796326442854,152.7943464566929,3.97986,2.6700000000000017
2109,50C,57.157777777777774,0.38696007153687645,68.61869873417722,3.16173,0.602222222222224
2108,50C,19.90888888888889,0.4580031253488112,,15.8565,0.5316666666666681
2108,50C,15.164444444444447,0.4875732708089096,,15.8501,0.04622222222222305
2108,50C,12.767777777777777,0.4765033504481768,,19.9578,0.322111111111111
3610,30C,11987.5,0.07955057351407716,25.45271724137931,1.58397,1054.3875
2108,30C,204.1625,0.2758648135676239,57.08693946902655,3.16409,8.878749999999997
2108,30C,217.27142857142857,0.2806693405220593,61.30009034090909,3.16406,10.248571428571438
2108,30C,224.5125,0.28036300874116143,56.21924975206611,1.58531,7.774999999999999
2107,30C,2891.875,0.10069591527987899,13.80394965727342,1.00012,457.69999999999993
2107,30C,1195.5714285714287,0.09805233600191181,22.094624052478135,1.99709,190.47142857142856
2103,30C,373.18571428571425,0.25000191402212607,15.175406214689266,1.25958,34.50285714285715
2103,30C,368.3875,0.23357877235248212,15.045945714285715,1.58683,40.552499999999995
2103,30C,416.2571428571428,0.24627634017434283,15.085662694300519,1.25973,39.48571428571428
2106,30C,12111.42857142857,0.11493276716206653,4.724410652173913,1.58698,2981.0
2106,30C,9881.714285714286,0.11446828196380038,5.75985567587752,1.25912,1862.857142857143
2125,30C,147.425,0.28018483974902486,81.13790229276894,0.199016,6.063750000000006
2125,30C,134.125,0.2825815470643057,80.26659688715954,0.999916,3.278749999999995
2125,30C,117.3111111111111,0.3018564121992803,75.46124346504558,0.158932,8.158888888888882
2109,30C,4038.285714285714,0.12320291495684166,37.65756383116883,1.99895,252.0714285714286
2109,30C,2748.0,0.12563076176613294,35.918344223107574,2.51449,223.66666666666663
3610,30C,5508.444444444444,0.0750322736808133,19.841540000000002,1.26074,686.6888888888889
3610,30C,8838.0,0.07516264992079656,8.51724159090909,1.25967,1811.7125
3610,30C,5855.875,0.0771660938800777,7.164280054127199,1.26052,1267.125
