Strain,Temp,RMS_mean,RMS_std,Wavelength_mean,Wavelength_std
2103,30C,18.501905712926657,10.453430981792728,1424.3650793650793,1199.0042868579028
2103,50C,11.012317558086094,7.524093591814911,4742.333333333333,643.6864472895498
2106,30C,14.632468623319077,0.8422192964787544,932.662962962963,498.2669973809347
2106,50C,3.4129895467002793,0.5172950062557913,1839.0,203.7122664446106
2107,30C,15.816367469293915,2.001831728072508,1602.9619047619046,1216.1894533966688
2107,50C,4.595812356723687,3.606342934505074,2499.8571428571427,1254.738010976983
2108,30C,24.49555538543995,3.5531237316286206,1063.3055555555557,373.6222176581283
2108,50C,7.268314273364512,3.984913383199764,3821.75,2213.9823424092615
2109,30C,16.531707719168754,3.1876121880817863,2452.3756613756614,1351.5066916421613
2109,50C,7.517206249614611,9.358838229620407,2963.125,1444.7992802556598
2125,30C,14.544288803429275,7.691183653150968,794.599954684616,782.4594857204075
2125,50C,15.826387330199704,5.0124442502475475,3833.3981481481483,2259.016537004089
3610,30C,19.07993703194641,11.606398709068728,2297.597222222222,1797.6587052320674
3610,50C,10.243232027662373,13.698058581217806,5019.433333333333,1181.931196128164
